"elapsed time [ms]","stats.allocated","stats.active","stats.mapped"
0,91488,196608,6508544
1000,4589088,5459968,53710848
2000,4589088,5459968,53710848
3000,4589088,5459968,53710848
4000,4589088,5459968,53710848
5000,4589088,5459968,53710848
6000,4589088,5459968,53710848
7000,4589088,5459968,53710848
8000,4589088,5459968,53710848
9000,4589088,5459968,53710848
10000,4589088,5459968,53710848
11000,4589088,5459968,53710848
12000,384047616,386555904,591486976
13001,1140711592,1144442880,1542393856
14000,1960413672,1965187072,2431033344
15000,2769823336,2775453696,3286654976
16001,3580161632,3586686976,4138594304
17000,3509011016,3514728448,4209016832
18000,3509325768,3515117568,4209405952
19000,3509384904,3515236352,4209569792
20000,3509343944,3515219968,4209872896
21000,3509236936,3515088896,4210085888
22000,3509115304,3514970112,4210208768
23000,3509240520,3515133952,4210356224
24000,3509218888,3515129856,4210356224
25000,3509000776,3514933248,4210376704
26000,3508918784,3514847232,4210376704
27000,3509036208,3514970112,4210487296
28000,3508193104,3514089472,4210499584
29000,3508193104,3514089472,4210499584
